,transaction_ID,transaction_type,transaction_date,transaction_status,transferring_registry,transferring_account_type,transferring_account_name,transferring_account_ID,transferring_account_holder,acquiring_registry,acquiring_account_type,acquiring_account_name,acquiring_account_ID,acquiring_account_holder,units
0,EU520648,10-2,2019-04-30 19:02:55.43,Completed,France,100,CHAUFFERIE CENTRALE RENNES BEAULIEU,5004695,Université de Rennes 1,European Commission,100,EU Allowance deletion,5016380,European Commission,2604
1,EU520730,10-2,2019-04-30 18:22:24.609,Completed,Poland,100,Ciepłownia ENCO,5003341,Przedsiębiorstwo Produkcyjno Usługowo Handlowe ENCo Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,4548
2,EU520679,10-2,2019-04-30 18:17:03.961,Completed,Greece,100,ENERGEAN OIL & GAS,5002458,ΕΝΕΡΓΕΙΑΚΗ ΑΙΓΑΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΡΕΥΝΑΣ ΚΑΙ ΠΑΡΑΓΩΓΗΣ ΥΔΡΟΓΟΝΑΝΘΡΑΚΩΝ,European Commission,100,EU Allowance deletion,5016380,European Commission,45404
3,EU520354,10-0,2019-04-30 17:59:41.157,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Ciepłownia ENCO,5003341,Przedsiębiorstwo Produkcyjno Usługowo Handlowe ENCo Sp. z o.o.,4600
4,EU520725,10-2,2019-04-30 17:54:51.281,Completed,Spain,100,"Cerámica Tres Estilos, S.L.",5018415,"Cerámica Tres Estilos, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,5579
5,EU520351,10-0,2019-04-30 17:54:30.24,Completed,Slovakia,100,"PETUM, s.r.o.",5003555,PETUM s.r.o.,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,4000
6,DE123705,4-0,2019-04-30 17:48:05.517,Completed,Germany,121,1975 - atmosfair gGmbH Personenkonto,1975,atmosfair gGmbH,Germany,230,Nationalkonto - Löschung 2013-2020,5018222,Deutschland,239
7,EU520717,10-2,2019-04-30 17:41:54.296,Completed,Poland,100,Kotłownia zakładowa - Oddział Morliny,5028066,Animex Foods Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,125
8,EU520533,10-2,2019-04-30 17:39:51.73,Completed,Spain,100,"Lusan Asfaltos y Construcciones, S.L.U.",5024482,"Lusan Asfaltos y Construcciones, S.L.U.",European Commission,100,EU Allowance deletion,5016380,European Commission,907
9,EU520322,10-0,2019-04-30 17:12:44.056,Completed,Estonia,100,Väo reservkatlamaja CHP,5026102,OÜ Utilitas Tallinna Elektrijaam,Estonia,100,Baltic Energy Partners OÜ,5016905,Baltic Energy Partners OÜ,4500
10,EU519952,10-0,2019-04-30 17:09:00.919,Completed,Finland,100,ER-Saha Oy:n lämpökeskus:FI731,5010727,ER-Saha Oy,Denmark,100,Energi Danmark,5006414,ENERGI DANMARK A/S,25000
11,EU520311,10-0,2019-04-30 17:04:45.043,Completed,Czech Republic,100,Teplospol - Kotelna Vajgar,5006575,Teplospol a.s.,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,1200
12,EU520681,10-2,2019-04-30 16:57:18.192,Completed,United Kingdom,100,Credit Suisse - Slough Data Centre,5025891,Iron Mountain (UK) Data Centre Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,364
13,EU520309,10-0,2019-04-30 16:51:38.085,Completed,Sweden,100,Lextorps värmeverk,5002238,Trollhättan Energi AB,Sweden,100,Stallbacka värmeverk,5002242,Trollhättan Energi AB,20000
14,EU520606,10-2,2019-04-30 16:51:01.555,Completed,Poland,100,Elektrociepłownia EC,5003570,ELSEN S.A. w restrukturyzacji,European Commission,100,EU Allowance deletion,5016380,European Commission,11763
15,EU520305,10-0,2019-04-30 16:46:33.152,Completed,Czech Republic,100,Liberty Engineering Products Ostrava a.s.,5006615,Liberty Engineering Products Ostrava a.s.,France,100,ARCELORMITTAL TREASURY Détention,5026253,ARCELORMITTAL TREASURY,157
16,EU520719,10-2,2019-04-30 16:46:29.146,Completed,Hungary,100,ASL Airlines (Hungary) Kft.,5026293,ASL Airlines (Hungary) Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,1847
17,EU520303,10-0,2019-04-30 16:37:48.493,Completed,Italy,100,Operator Acoount,5013651,Free Energia S.p.A.,Italy,100,Operator Account,5013644,Whirlpool EMEA SPA,2807
18,EU520289,10-0,2019-04-30 16:32:30.984,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Kotłownia zakładowa - Oddział Morliny,5028066,Animex Foods Sp. z o.o.,125
19,EU520716,10-2,2019-04-30 16:30:12.035,Completed,Belgium,100,0721 Electrabel - Gasturbines Langerlo,5028084,Electrabel,European Commission,100,EU Allowance deletion,5016380,European Commission,9895
20,CH26153,3-0,2019-04-30 16:27:41.59,Completed,Switzerland,100,,546,,Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",1543
21,EU520654,10-2,2019-04-30 16:25:00.385,Completed,France,100,COGESTAR 3 - Mc Cain Matougues,5028069,COGESTAR 3,European Commission,100,EU Allowance deletion,5016380,European Commission,6621
22,EU520656,10-2,2019-04-30 16:23:57.972,Completed,France,100,COGESTAR 3 - CEA Saclay,5028083,COGESTAR 3,European Commission,100,EU Allowance deletion,5016380,European Commission,7563
23,EU520483,10-2,2019-04-30 16:23:56.391,Completed,France,100,NAVAL GROUP,5023286,NAVAL GROUP,European Commission,100,EU Allowance deletion,5016380,European Commission,2242
24,EU520711,10-2,2019-04-30 16:22:24.14,Completed,France,100,LE PANIER PROVENCAL,5005094,LE PANIER PROVENCAL,European Commission,100,EU Allowance deletion,5016380,European Commission,3071
25,EU520278,10-0,2019-04-30 16:21:14.436,Completed,Belgium,100,089 Electrabel Turbo Jet back up Cierreux,5004488,Electrabel,Belgium,100,0721 Electrabel - Gasturbines Langerlo,5028084,Electrabel,9895
26,EU520712,10-2,2019-04-30 16:10:32.032,Completed,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,European Commission,100,EU Allowance deletion,5016380,European Commission,12181
27,EU520710,10-2,2019-04-30 16:07:41.04,Completed,France,100,Chaufferie Porte de Bâle,5005643,WEIBLEN IMMEUBLES SARL,European Commission,100,EU Allowance deletion,5016380,European Commission,2371
28,EU520707,10-2,2019-04-30 16:05:24.199,Completed,Italy,100,franzese,5013135,Franzese spa,European Commission,100,EU Allowance deletion,5016380,European Commission,561
29,EU520706,10-2,2019-04-30 16:04:11.928,Completed,Poland,100,SprintAir S.A.,5027336,SprintAir S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,3600
30,EU520709,10-72,2019-04-30 16:02:38.003,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,991
31,EU520698,10-2,2019-04-30 16:02:36.245,Completed,France,100,Chaufferie Porte de Bâle,5005643,WEIBLEN IMMEUBLES SARL,European Commission,100,EU Allowance deletion,5016380,European Commission,2160
32,EU520700,10-71,2019-04-30 16:01:30.114,Completed,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,991
33,EU520705,10-72,2019-04-30 15:59:49.07,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,franzese,5013135,Franzese spa,561
34,EU520691,10-2,2019-04-30 15:58:56.416,Completed,Iceland,100,PCC BakkiSilicon hf.,5027273,PCC BakkiSilicon,European Commission,100,EU Allowance deletion,5016380,European Commission,50402
35,EU520689,10-71,2019-04-30 15:58:54.238,Completed,Italy,100,franzese,5013135,Franzese spa,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,561
36,EU520694,10-2,2019-04-30 15:57:40.696,Completed,France,100,SOBEGI MOURENX,5022478,SOBEGI,European Commission,100,EU Allowance deletion,5016380,European Commission,12018
37,EU520699,10-0,2019-04-30 15:57:18.468,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,30000
38,EU520252,10-0,2019-04-30 15:55:49.097,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,France,100,Chaufferie Porte de Bâle,5005643,WEIBLEN IMMEUBLES SARL,2371
39,EU514756,10-2,2019-04-30 15:55:48.45,Completed,Portugal,100,FONT SALEM PORTUGAL,5023111,FONT SALEM PORTUGAL,European Commission,100,EU Allowance deletion,5016380,European Commission,6929
40,EU520697,10-0,2019-04-30 15:53:02.506,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,SprintAir S.A.,5027336,SprintAir S.A.,3600
41,EU520696,10-0,2019-04-30 15:52:59.004,Completed,Germany,100,Vattenfall Energy Trading GmbH,5017244,Vattenfall Energy Trading GmbH,France,100,BNP PARIBAS,5027964,BNP PARIBAS,250000
42,EU520695,10-0,2019-04-30 15:51:55.988,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,1091
43,EU520680,10-2,2019-04-30 15:50:38.557,Completed,Germany,100,Werk Unsleben,5018533,Dachziegelwerke Nelskamp GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,16880
44,EU520682,10-0,2019-04-30 15:49:44.355,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,4000
45,EU520690,10-0,2019-04-30 15:48:51.998,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Spain,100,"Repsol Trading, S.A.",5024180,"Repsol Trading, S.A",397000
46,EU520692,10-0,2019-04-30 15:47:36.161,Completed,Slovenia,100,Belektron TRD Si,5016820,BELEKTRON d.o.o.,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,4000
47,EU520688,10-72,2019-04-30 15:43:37.499,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,100
48,EU520525,10-71,2019-04-30 15:42:43.501,Completed,France,100,FORGITAL DEMBIERMONT,5024029,SAS FORGITAL DEMBIERMONT,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,100
49,EU520666,10-2,2019-04-30 15:40:45.698,Completed,Bulgaria,100,Keros Bulgaria EAD,5019141,Keros Bulgaria EAD,European Commission,100,EU Allowance deletion,5016380,European Commission,29278
50,EU519898,10-2,2019-04-30 15:39:12.165,Completed,Germany,100,"Emil Capital Partners, LLC",5019535,"Emil Capital Partners, LLC",European Commission,100,EU Allowance deletion,5016380,European Commission,346
51,EU520244,10-0,2019-04-30 15:37:02.072,Completed,Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",Italy,100,franzese,5013135,Franzese spa,561
52,EU520661,10-2,2019-04-30 15:35:27.156,Completed,Germany,100,536 - Anlagenkonto,5015501,Pappenfabrik Trauchgau GmbH & Co. KG,European Commission,100,EU Allowance deletion,5016380,European Commission,8022
53,EU520246,10-0,2019-04-30 15:35:00.296,Completed,Germany,100,Werk Schermbeck,5015842,Dachziegelwerke Nelskamp GmbH,Germany,100,Werk Unsleben,5018533,Dachziegelwerke Nelskamp GmbH,2700
54,EU520672,10-0,2019-04-30 15:33:39.082,Completed,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,Netherlands,100,Mitsui Bussan Commodities #1,5027970,Mitsui Bussan Commodities Ltd,21000
55,EU520193,10-0,2019-04-30 15:32:28.027,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,Iceland,100,PCC BakkiSilicon hf.,5027273,PCC BakkiSilicon,50402
56,EU520674,10-0,2019-04-30 15:32:15.481,Completed,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,34000
57,EU520673,10-2,2019-04-30 15:27:33.322,Completed,Netherlands,100,Koole Tankstorage Minerals B.V.,5024783,Koole Tankstorage Minerals B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,13561
58,EU520207,10-0,2019-04-30 15:25:15.009,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,United Kingdom,100,Credit Suisse - Slough Data Centre,5025891,Iron Mountain (UK) Data Centre Limited,364
